ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored
0116,Sonja Christopher,63,Female,CA,Borneo,16,3,4,0.0625,1,1,16,1,0
0115,B.B. Andersen,64,Male,KS,Borneo,15,6,6,0.125,1,1,16,1,0
0114,Stacey Stillman,27,Female,CA,Borneo,14,9,6,0.1875,1,1,16,1,0
0113,Ramona Gray,29,Female,NJ,Borneo,13,12,6,0.25,1,1,16,1,0
0112,Dirk Been,23,Male,WI,Borneo,12,15,4,0.3125,1,1,16,1,0
0111,Joel Klug,27,Male,AR,Borneo,11,18,4,0.375,1,1,16,1,0
0110,Gretchen Cordy,38,Female,TN,Borneo,10,21,4,0.4375,1,1,16,1,0
0109,Greg Buis,24,Male,CO,Borneo,9,24,6,0.5,1,1,16,1,0
0108,Jenna Lewis,22,Female,NH,Borneo,8,27,11,0.5625,1,2,16,1,0
0107,Gervase Peterson,30,Male,NJ,Borneo,7,30,6,0.625,1,2,16,1,0
0106,Colleen Haskell,23,Female,FL,Borneo,6,33,7,0.6875,1,1,16,1,0
0105,Sean Kenniff,30,Male,NY,Borneo,5,36,9,0.75,1,1,16,1,0
0104,Susan Hawk,38,Female,WI,Borneo,4,37,7,0.8125,1,2,16,1,0
0103,Rudy Boesch,72,Male,VA,Borneo,3,38,8,0.875,1,2,16,1,0
0102,Kelly Wiglesworth,22,Female,NV,Borneo,2,39,0,0.9375,1,2,16,1,1
0101,Richard Hatch,39,Male,RI,Borneo,1,39,6,1.0,1,2,16,1,1
0216,Debb Eaton,45,Female,NH,The Australian Outback,16,3,7,0.0625,1,1,16,2,0
0215,Kel Gleason,32,Male,TX,The Australian Outback,15,6,7,0.125,1,1,16,2,0
0214,Maralyn Hershey,51,Female,VA,The Australian Outback,14,9,5,0.1875,1,1,16,2,0
0213,Mitchell Olson,23,Male,NJ,The Australian Outback,13,12,6,0.25,1,1,16,2,0
0212,Kimmi Kappenberg,27,Female,NY,The Australian Outback,12,15,6,0.3125,1,2,16,2,0
0211,Michael Skupin,38,Male,MI,The Australian Outback,11,17,0,0.375,1,2,16,2,1
0210,Jeff Varner,34,Male,NY,The Australian Outback,10,21,11,0.4375,1,3,16,2,0
0209,Alicia Calaway,32,Female,NY,The Australian Outback,9,24,5,0.5,1,2,16,2,0
0208,Jerri Manthey,30,Female,CA,The Australian Outback,8,27,12,0.5625,1,3,16,2,0
0207,Nick Brown,23,Male,WA,The Australian Outback,7,30,4,0.625,1,1,16,2,0
0206,Amber Brkich,22,Female,PA,The Australian Outback,6,33,6,0.6875,1,2,16,2,0
0205,Rodger Bingham,53,Male,KY,The Australian Outback,5,36,5,0.75,1,1,16,2,0
0204,Elisabeth Filarski,23,Female,MA,The Australian Outback,4,39,5,0.8125,1,1,16,2,0
0203,Keith Famie,40,Male,MI,The Australian Outback,3,41,10,0.875,1,1,16,2,0
0202,Colby Donaldson,26,Male,TX,The Australian Outback,2,42,9,0.9375,1,3,16,2,1
0201,Tina Wesson,39,Female,TN,The Australian Outback,1,42,0,1.0,1,3,16,2,1
0316,Diane Ogden,42,Female,NE,Africa,16,3,6,0.0625,1,1,16,3,0
0315,Jessie Camacho,27,Female,FL,Africa,15,6,5,0.125,1,1,16,3,0
0314,Carl Bilancione,46,Male,FL,Africa,14,9,7,0.1875,1,1,16,3,0
0313,Linda Spencer,44,Female,MA,Africa,13,12,4,0.25,1,1,16,3,0
0312,Silas Gaither,23,Male,CA,Africa,12,15,8,0.3125,1,1,16,3,0
0311,Lindsey Richter,26,Female,OR,Africa,11,18,12,0.375,1,1,16,3,0
0310,Clarence Black,24,Male,MI,Africa,10,21,12,0.4375,1,1,16,3,0
0309,Kelly Goldsmith,22,Female,CA,Africa,9,24,5,0.5,1,1,16,3,0
0308,Brandon Quinton,25,Male,TX,Africa,8,27,6,0.5625,1,1,16,3,0
0307,Frank Garrison,43,Male,NY,Africa,7,30,9,0.625,1,1,16,3,0
0306,Kim Powers,29,Female,PA,Africa,6,33,4,0.6875,1,1,16,3,0
0305,Teresa Cooper,42,Female,GA,Africa,5,36,4,0.75,1,1,16,3,0
0304,Tom Buchanan,45,Male,VA,Africa,4,37,9,0.8125,1,2,16,3,0
0303,Lex van den Berghe,38,Male,CA,Africa,3,38,10,0.875,1,2,16,3,0
0302,Kim Johnson,56,Female,NY,Africa,2,39,1,0.9375,1,1,16,3,1
0301,Ethan Zohn,27,Male,NY,Africa,1,39,0,1.0,1,2,16,3,1
0416,Peter Harkey,44,Male,MA,Marquesas,16,3,5,0.0625,1,1,16,4,0
0415,Patricia Jackson,49,Female,SC,Marquesas,15,6,5,0.125,1,1,16,4,0
0414,Hunter Ellis,33,Male,CA,Marquesas,14,9,4,0.1875,1,1,16,4,0
0413,Sarah Jones,24,Female,CA,Marquesas,13,12,11,0.25,1,1,16,4,0
0412,Gabriel Cade,23,Male,CA,Marquesas,12,15,7,0.3125,1,1,16,4,0
0411,Gina Crews,28,Female,FL,Marquesas,11,18,3,0.375,1,1,16,4,0
0410,Rob Mariano,25,Male,MA,Marquesas,10,21,8,0.4375,1,4,16,4,0
0409,John Carroll,36,Male,NE,Marquesas,9,24,8,0.5,1,1,16,4,0
0408,Zoe Zanidakis,35,Female,ME,Marquesas,8,27,8,0.5625,1,1,16,4,0
0407,Tammy Leitner,29,Female,AZ,Marquesas,7,30,5,0.625,1,1,16,4,0
0406,Robert DeCanio,38,Male,NY,Marquesas,6,33,6,0.6875,1,1,16,4,0
0405,Sean Rector,30,Male,CA,Marquesas,5,36,7,0.75,1,1,16,4,0
0404,Paschal English,56,Female,GA,Marquesas,4,37,0,0.8125,1,1,16,4,1
0404,Kathy Vavrick-O'Brien,47,Male,VT,Marquesas,4,38,5,0.8125,1,2,16,4,0
0402,Neleh Dennis,21,Female,UT,Marquesas,2,39,4,0.9375,1,1,16,4,1
0401,Vecepia Towery,36,Female,CA,Marquesas,1,39,2,1.0,1,1,16,4,1
0516,John Raymond,40,Male,LA,Thailand,16,3,6,0.0625,1,1,16,5,0
0515,Tanya Vance,27,Female,TN,Thailand,15,6,5,0.125,1,1,16,5,0
0514,Jed Hildebrand,25,Male,TX,Thailand,14,9,5,0.1875,1,1,16,5,0
0513,Ghandia Johnson,33,Female,CO,Thailand,13,12,5,0.25,1,1,16,5,0
0512,Stephanie Dill,29,Female,AR,Thailand,12,15,5,0.3125,1,1,16,5,0
0511,Robb Zbacnik,23,Male,AZ,Thailand,11,18,5,0.375,1,1,16,5,0
0510,Shii Ann Huang,28,Female,NY,Thailand,10,21,10,0.4375,1,2,16,5,0
0509,Erin Collins,26,Female,TX,Thailand,9,24,3,0.5,1,1,16,5,0
0508,Ken Stafford,30,Male,NY,Thailand,8,27,6,0.5625,1,1,16,5,0
0507,Penny Ramsey,27,Female,TX,Thailand,7,30,5,0.625,1,1,16,5,0
0506,Jake Billingsley,60,Male,TX,Thailand,6,33,7,0.6875,1,1,16,5,0
0505,"Ted Rogers, Jr.",37,Male,NC,Thailand,5,36,7,0.75,1,1,16,5,0
0504,Helen Glover,47,Female,RI,Thailand,4,37,5,0.8125,1,1,16,5,0
0503,Jan Gentry,53,Female,FL,Thailand,3,38,5,0.875,1,1,16,5,0
0502,Clay Jordan,46,Male,LA,Thailand,2,39,3,0.9375,1,1,16,5,1
0501,Brian Heidik,34,Male,CA,Thailand,1,39,0,1.0,1,1,16,5,1
0616,Ryan Aiken,23,Male,MD,The Amazon,16,3,4,0.0625,1,1,16,6,0
0615,Janet Koth,46,Female,MO,The Amazon,15,6,5,0.125,1,1,16,6,0
0614,Daniel Lue,26,Male,TX,The Amazon,14,9,7,0.1875,1,1,16,6,0
0613,JoAnna Ward,31,Female,SC,The Amazon,13,12,4,0.25,1,1,16,6,0
0612,Jeanne Hebert,40,Female,MA,The Amazon,12,15,5,0.3125,1,1,16,6,0
0611,Shawna Mitchell,23,Female,CA,The Amazon,11,18,6,0.375,1,1,16,6,0
0610,Roger Sexton,56,Male,CA,The Amazon,10,21,11,0.4375,1,1,16,6,0
0609,Dave Johnson,23,Male,CA,The Amazon,9,24,8,0.5,1,1,16,6,0
0608,Deena Bennett,35,Female,CA,The Amazon,8,27,6,0.5625,1,1,16,6,0
0607,Alex Bell,32,Male,CA,The Amazon,7,30,6,0.625,1,1,16,6,0
0606,Christy Smith,24,Female,CO,The Amazon,6,33,9,0.6875,1,1,16,6,0
0605,Heidi Strobel,24,Female,MO,The Amazon,5,36,3,0.75,1,1,16,6,0
0604,Butch Lockley,50,Male,IL,The Amazon,4,37,5,0.8125,1,1,16,6,0
0603,Rob Cesternino,24,Male,NY,The Amazon,3,38,4,0.875,1,2,16,6,0
0602,Matthew von Ertfelda,33,Male,DC,The Amazon,2,39,6,0.9375,1,1,16,6,1
0601,Jenna Morasca,21,Female,PA,The Amazon,1,39,3,1.0,1,2,16,6,1
0716,Nicole Delma,24,Female,CA,Pearl Islands,16,3,7,0.0625,1,1,16,7,0
0715,Ryan Shoulders,23,Male,TN,Pearl Islands,15,6,6,0.125,1,1,16,7,0
0714,Michelle Tesauro,22,Female,DC,Pearl Islands,14,15,6,0.1875,1,1,16,7,0
0713,Trish Dunn,42,Female,MD,Pearl Islands,13,18,4,0.25,1,1,16,7,0
0712,Shawn Cohen,28,Male,CA,Pearl Islands,12,19,5,0.3125,1,1,16,7,0
0711,Osten Taylor,27,Male,MA,Pearl Islands,11,19,2,0.375,1,1,16,7,1
0710,Andrew Savage,39,Male,IL,Pearl Islands,10,21,6,0.4375,1,2,16,7,0
0709,Ryan Opray,30,Male,CA,Pearl Islands,9,24,8,0.5,1,1,16,7,0
0708,Rupert Boneham,39,Male,IN,Pearl Islands,8,27,7,0.5625,1,4,16,7,0
0707,Tijuana Bradley,26,Female,MO,Pearl Islands,7,30,5,0.625,1,1,16,7,0
0706,Christa Hastie,24,Female,CA,Pearl Islands,6,33,7,0.6875,1,1,16,7,0
0705,Burton Roberts,31,Male,CA,Pearl Islands,5,36,10,0.75,1,1,16,7,0
0704,Darrah Johnson,22,Female,MS,Pearl Islands,4,37,6,0.8125,1,1,16,7,0
0703,Jon Dalton,29,Male,CA,Pearl Islands,3,38,7,0.875,1,2,16,7,0
0702,Lillian Morris,51,Female,OH,Pearl Islands,2,39,10,0.9375,1,1,16,7,1
0701,Sandra Diaz-Twine,29,Female,WA,Pearl Islands,1,39,0,1.0,1,3,16,7,1
0818,Tina Wesson,42,Female,TN,All-Stars,18,3,4,0.05555555555555558,2,3,18,8,0
0817,Rudy Boesch,75,Male,VA,All-Stars,17,6,3,0.11111111111111116,2,2,18,8,0
0816,Jenna Morasca,22,Female,PA,All-Stars,16,9,0,0.16666666666666663,2,2,18,8,1
0815,Rob Cesternino,25,Male,NY,All-Stars,15,12,5,0.2222222222222222,2,2,18,8,0
0814,Richard Hatch,42,Male,RI,All-Stars,14,15,6,0.2777777777777778,2,2,18,8,0
0813,Susan Hawk,42,Female,NV,All-Stars,13,17,0,0.33333333333333337,2,2,18,8,1
0812,Colby Donaldson,29,Male,TX,All-Stars,12,19,4,0.38888888888888884,2,3,18,8,0
0811,Ethan Zohn,30,Male,NY,All-Stars,11,21,6,0.4444444444444444,2,2,18,8,0
0810,Jerri Manthey,33,Female,CA,All-Stars,10,24,7,0.5,2,3,18,8,0
0809,Lex van den Berghe,40,Male,CA,All-Stars,9,27,7,0.5555555555555556,2,2,18,8,0
0808,Kathy Vavrick-O'Brien,49,Female,VT,All-Stars,8,28,6,0.6111111111111112,2,2,18,8,0
0807,Alicia Calaway,35,Female,NY,All-Stars,7,30,7,0.6666666666666667,2,2,18,8,0
0806,Shii Ann Huang,29,Female,NY,All-Stars,6,33,5,0.7222222222222222,2,2,18,8,0
0805,Tom Buchanan,48,Male,VA,All-Stars,5,36,4,0.7777777777777778,2,2,18,8,0
0804,Rupert Boneham,39,Male,IN,All-Stars,4,37,4,0.8333333333333334,2,4,18,8,0
0803,Jenna Lewis,26,Female,CA,All-Stars,3,38,4,0.8888888888888888,2,2,18,8,0
0802,Rob Mariano,27,Male,MA,All-Stars,2,39,1,0.9444444444444444,2,4,18,8,1
0801,Amber Brkich,25,Female,PA,All-Stars,1,39,6,1.0,2,2,18,8,1
0918,Brook Geraghty,27,Male,MA,Vanuatu,18,3,5,0.05555555555555558,1,1,18,9,0
0917,Dolly Neely,25,Female,PA,Vanuatu,17,6,5,0.11111111111111116,1,1,18,9,0
0916,John Palyok,31,Male,CA,Vanuatu,16,7,5,0.16666666666666663,1,1,18,9,0
0915,Mia Galeotalanza,29,Female,MA,Vanuatu,15,7,5,0.2222222222222222,1,1,18,9,0
0914,Brady Finta,33,Male,CA,Vanuatu,14,10,6,0.2777777777777778,1,1,18,9,0
0913,Travis Sampson,33,Male,TN,Vanuatu,13,12,6,0.33333333333333337,1,1,18,9,0
0912,Lisa Keiffer,44,Female,LA,Vanuatu,12,15,4,0.38888888888888884,1,1,18,9,0
0911,John Kenney,22,Male,CA,Vanuatu,11,18,5,0.4444444444444444,1,1,18,9,0
0910,Rory Freeman,35,Male,IA,Vanuatu,10,21,14,0.5,1,1,18,9,0
0909,Lea Masters,40,Male,SC,Vanuatu,9,24,7,0.5555555555555556,1,1,18,9,0
0908,Chad Crittenden,34,Male,CA,Vanuatu,8,27,7,0.6111111111111112,1,1,18,9,0
0907,Leann Slaby,35,Female,WI,Vanuatu,7,30,8,0.6666666666666667,1,1,18,9,0
0906,Ami Cusack,31,Female,CO,Vanuatu,6,33,8,0.7222222222222222,1,2,18,9,0
0905,Julie Berry,23,Female,ME,Vanuatu,5,36,4,0.7777777777777778,1,1,18,9,0
0904,Eliza Orlins,21,Female,NY,Vanuatu,4,37,9,0.8333333333333334,1,2,18,9,0
0903,Scout Cloud Lee,59,Female,OK,Vanuatu,3,38,3,0.8888888888888888,1,1,18,9,0
0902,Twila Tanner,41,Female,MO,Vanuatu,2,39,6,0.9444444444444444,1,1,18,9,1
0901,Chris Daugherty,33,Male,OH,Vanuatu,1,39,3,1.0,1,1,18,9,1
1020,Jonathan Libby,23,Male,TX,Palau,20,2,0,0.050000000000000044,1,1,20,10,1
1019,Wanda Shirk,55,Female,PA,Palau,19,2,0,0.09999999999999998,1,1,20,10,1
1018,Jolanda Jones,38,Female,TX,Palau,18,3,6,0.15000000000000002,1,1,20,10,0
1017,Ashlee Ashby,22,Female,SC,Palau,17,6,6,0.19999999999999996,1,1,20,10,0
1016,Jeff Wilson,21,Male,CA,Palau,16,8,5,0.25,1,1,20,10,0
1015,Kim Mullen,25,Female,OH,Palau,15,11,8,0.30000000000000004,1,1,20,10,0
1014,Willard Smith,56,Male,WA,Palau,14,12,8,0.35,1,1,20,10,0
1013,Angie Jakusz,24,Female,LA,Palau,13,12,8,0.4,1,1,20,10,0
1012,James Miller,33,Male,AL,Palau,12,15,7,0.44999999999999996,1,1,20,10,0
1011,Ibrehem Rahman,27,Male,AL,Palau,11,18,4,0.5,1,1,20,10,0
1010,Bobby Jon Drinkard,27,Male,CA,Palau,10,21,2,0.55,1,2,20,10,1
1009,Coby Archa,32,Male,TX,Palau,9,24,7,0.6,1,1,20,10,0
1008,Janu Tornell,39,Female,NV,Palau,8,27,1,0.65,1,1,20,10,1
1007,Stephenie LaGrossa,24,Female,NJ,Palau,7,30,8,0.7,1,3,20,10,0
1006,Gregg Carey,27,Male,IL,Palau,6,33,4,0.75,1,1,20,10,0
1005,Caryn Groedel,46,Female,OH,Palau,5,36,7,0.8,1,1,20,10,0
1004,Jenn Lyon,32,Female,CA,Palau,4,37,3,0.85,1,1,20,10,0
1003,Ian Rosenberger,23,Male,PA,Palau,3,38,5,0.9,1,1,20,10,0
1002,Katie Gallagher,29,Female,CA,Palau,2,39,1,0.95,1,1,20,10,1
1001,Tom Westman,40,Male,NY,Palau,1,39,0,1.0,1,2,20,10,1
1118,Jim Lynch,63,Male,CO,Guatemala,18,3,8,0.05555555555555558,1,1,18,11,0
1117,Morgan McDevitt,21,Female,IL,Guatemala,17,6,8,0.11111111111111116,1,1,18,11,0
1116,Brianna Varela,21,Female,WA,Guatemala,16,8,7,0.16666666666666663,1,1,18,11,0
1115,Brooke Struck,25,Female,OR,Guatemala,15,11,5,0.2222222222222222,1,1,18,11,0
1114,Blake Towsley,24,Male,TX,Guatemala,14,14,5,0.2777777777777778,1,1,18,11,0
1113,Margaret Bobonich,43,Female,OH,Guatemala,13,15,7,0.33333333333333337,1,1,18,11,0
1112,Brian Corridan,22,Male,NY,Guatemala,12,15,7,0.38888888888888884,1,1,18,11,0
1111,Amy O'Hara,39,Female,MA,Guatemala,11,18,4,0.4444444444444444,1,1,18,11,0
1110,Brandon Bellinger,22,Male,KS,Guatemala,10,21,6,0.5,1,1,18,11,0
1109,Bobby Jon Drinkard,28,Male,CA,Guatemala,9,24,8,0.5555555555555556,2,2,18,11,0
1108,Jamie Newton,24,Male,CA,Guatemala,8,27,10,0.6111111111111112,1,1,18,11,0
1107,Gary Hogeboom,46,Male,MI,Guatemala,7,30,8,0.6666666666666667,1,1,18,11,0
1106,Judd Sergeant,34,Male,NJ,Guatemala,6,33,5,0.7222222222222222,1,1,18,11,0
1105,Cindy Hall,31,Female,FL,Guatemala,5,36,6,0.7777777777777778,1,1,18,11,0
1104,Lydia Morales,42,Female,WA,Guatemala,4,37,10,0.8333333333333334,1,1,18,11,0
1103,Rafe Judkins,22,Male,PA,Guatemala,3,38,2,0.8888888888888888,1,1,18,11,0
1102,Stephenie LaGrossa,25,Female,NJ,Guatemala,2,39,2,0.9444444444444444,2,3,18,11,1
1101,Danni Boatwright,30,Female,KS,Guatemala,1,39,1,1.0,1,1,18,11,1
1216,Tina Scheer,44,Female,WI,Panama,16,3,3,0.0625,1,1,16,12,0
1215,Melinda Hyder,32,Female,TN,Panama,15,6,5,0.125,1,1,16,12,0
1214,Misty Giles,24,Female,TX,Panama,14,8,5,0.1875,1,1,16,12,0
1213,Ruth-Marie Milliman,48,Female,SC,Panama,13,11,6,0.25,1,1,16,12,0
1212,Bobby Mason,32,Male,CA,Panama,12,14,3,0.3125,1,1,16,12,0
1211,Dan Barry,51,Male,MA,Panama,11,15,3,0.375,1,1,16,12,0
1210,Nick Stanbury,25,Male,AZ,Panama,10,18,6,0.4375,1,1,16,12,0
1209,Austin Carty,24,Male,NC,Panama,9,21,7,0.5,1,1,16,12,0
1208,Sally Schumann,27,Female,IL,Panama,8,24,8,0.5625,1,1,16,12,0
1207,Bruce Kanegai,57,Male,CA,Panama,7,25,2,0.625,1,1,16,12,1
1206,Courtney Marit,31,Female,CA,Panama,6,30,4,0.6875,1,1,16,12,0
1205,Shane Powers,34,Male,CA,Panama,5,33,9,0.75,1,1,16,12,0
1204,Cirie Fields,35,Female,SC,Panama,4,36,3,0.8125,1,4,16,12,0
1203,Terry Deitz,46,Male,CT,Panama,3,38,1,0.875,1,2,16,12,0
1202,Danielle DiLorenzo,24,Female,FL,Panama,2,39,4,0.9375,1,2,16,12,1
1201,Aras Baskauskas,24,Male,CA,Panama,1,39,9,1.0,1,2,16,12,1
1320,Sekou Bunch,45,Male,CA,Cook Islands,20,3,3,0.050000000000000044,1,1,20,13,0
1319,Billy Garcia,36,Male,NY,Cook Islands,19,6,4,0.09999999999999998,1,1,20,13,0
1318,Cecilia Mansilla,29,Female,CA,Cook Islands,18,8,5,0.15000000000000002,1,1,20,13,0
1317,J.P. Calderon,30,Male,CA,Cook Islands,17,11,7,0.19999999999999996,1,1,20,13,0
1316,Stephannie Favor,35,Female,SC,Cook Islands,16,14,9,0.25,1,1,20,13,0
1315,Cao Boi Bui,42,Male,VA,Cook Islands,15,15,6,0.30000000000000004,1,1,20,13,0
1314,Cristina Coria,35,Female,CA,Cook Islands,14,15,5,0.35,1,1,20,13,0
1313,Jessica Smith,27,Female,CA,Cook Islands,13,18,6,0.4,1,1,20,13,0
1312,Brad Virata,29,Male,CA,Cook Islands,12,21,7,0.44999999999999996,1,1,20,13,0
1311,Rebecca Borman,34,Female,NY,Cook Islands,11,24,6,0.5,1,1,20,13,0
1310,Jenny Guzon-Bae,36,Female,IL,Cook Islands,10,24,6,0.55,1,1,20,13,0
1309,Nate Gonzalez,26,Male,CA,Cook Islands,9,27,5,0.6,1,1,20,13,0
1308,Candice Woodcock,23,Female,DC,Cook Islands,8,30,6,0.65,1,2,20,13,0
1307,Jonathan Penner,44,Male,CA,Cook Islands,7,33,15,0.7,1,3,20,13,0
1306,Parvati Shallow,23,Female,CA,Cook Islands,6,36,4,0.75,1,3,20,13,0
1305,Adam Gentry,28,Male,CA,Cook Islands,5,37,5,0.8,1,1,20,13,0
1304,Sundra Oakley,31,Female,CA,Cook Islands,4,38,6,0.85,1,1,20,13,0
1303,Becky Lee,28,Female,DC,Cook Islands,3,39,5,0.9,1,1,20,13,1
1302,Ozzy Lusth,25,Male,CA,Cook Islands,2,39,1,0.95,1,4,20,13,1
1301,Yul Kwon,31,Male,CA,Cook Islands,1,39,5,1.0,1,1,20,13,1
1419,Jessica deBen,27,Female,CA,Fiji,19,3,6,0.052631578947368474,1,1,19,14,0
1418,Erica Durousseau,27,Female,LA,Fiji,18,6,6,0.10526315789473684,1,1,19,14,0
1417,Sylvia Kwan,52,Female,CA,Fiji,17,8,6,0.1578947368421053,1,1,19,14,0
1416,Gary Stritesky,55,Male,MN,Fiji,16,10,0,0.21052631578947367,1,1,19,14,1
1415,Liliana Gomez,25,Female,CA,Fiji,15,11,6,0.26315789473684215,1,1,19,14,0
1414,Rita Verreos,38,Female,TX,Fiji,14,14,6,0.3157894736842105,1,1,19,14,0
1413,Anthony Robinson,32,Male,CA,Fiji,13,16,10,0.368421052631579,1,1,19,14,0
1412,Rocky Reid,28,Male,CA,Fiji,12,19,5,0.42105263157894735,1,1,19,14,0
1411,Lisi Linares,36,Female,CA,Fiji,11,21,7,0.4736842105263158,1,1,19,14,0
1410,Michelle Yi,23,Female,OH,Fiji,10,24,3,0.5263157894736843,1,1,19,14,0
1409,Edgardo Rivera,28,Male,FL,Fiji,9,27,5,0.5789473684210527,1,1,19,14,0
1408,Mookie Lee,25,Male,IL,Fiji,8,30,6,0.631578947368421,1,1,19,14,0
1407,Alex Angarita,28,Male,CA,Fiji,7,33,9,0.6842105263157895,1,1,19,14,0
1406,Stacy Kimball,27,Female,CO,Fiji,6,36,4,0.736842105263158,1,1,19,14,0
